CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
34364924,4091.44922,1073,540,29,3/21/15,141.0844559
22832526,4037.0094,1101,496,31,3/20/15,130.2261097
36833307,3979.00865,1175,355,18,3/21/15,221.0560361
21236338,3797.43961,942,393,45,3/25/15,84.38754689
34465116,3496.42935,799,397,32,3/23/15,109.2634172
22206066,3458.50969,921,331,59,3/25/15,58.61880831
22153253,3388.39951,832,328,46,3/25/15,73.66085891
21392515,3384.30938,1092,417,75,3/25/15,45.12412507
22211029,3324.85969,968,240,32,3/24/15,103.9018653
22640091,3161.02958,794,336,21,3/14/15,150.5252181
21193598,3145.71939,834,455,26,3/23/15,120.9892073
22331438,2981.85932,737,295,33,3/25/15,90.35937333
39659521,2916.50983,798,272,35,3/24/15,83.32885229
20973356,2808.12965,740,329,17,3/23/15,165.1840971
21630560,2774.24971,855,385,47,3/24/15,59.02658957
21204166,2773.90962,704,325,58,3/24/15,47.82602793
38858182,2714.14976,668,308,18,3/23/15,150.7860978
23748558,2713.7995,682,331,55,3/25/15,49.34180909
22112596,2696.82965,655,334,31,3/22/15,86.99450484
22642232,2692.59962,688,347,48,3/24/15,56.09582542
22527719,2692.49919,653,187,45,3/25/15,59.83331533
22848883,2686.00965,772,190,92,3/25/15,29.19575707
40147510,2666.07963,677,241,21,3/21/15,126.9561729
39301147,2611.90961,697,300,30,3/25/15,87.06365367
28842597,2585.79966,814,292,32,3/24/15,80.80623938
25794645,2578.32974,614,314,41,3/25/15,62.88609122
22207467,2564.12951,663,247,12,3/21/15,213.6774592
23598240,2560.70951,637,275,29,3/24/15,88.30032793
39730315,2540.32956,903,383,44,3/25/15,57.73476273
21443996,2517.82982,812,287,38,3/22/15,66.25867947
36153170,2507.14981,713,244,38,3/21/15,65.97762658
21429358,2506.77962,768,292,18,3/24/15,139.2655344
22153195,2504.63938,649,212,48,3/25/15,52.17998708
21570020,2499.7094,629,264,15,3/21/15,166.6472933
21227247,2493.17931,583,197,13,3/25/15,191.7830238
21284896,2464.94953,576,309,20,3/25/15,123.2474765
21698816,2455.52976,641,276,16,3/21/15,153.47061
21150733,2450.70972,570,225,12,3/13/15,204.22581
21350960,2435.20979,694,353,58,3/24/15,41.98637569
22206032,2432.40964,643,358,33,3/25/15,73.70938303
21915847,2426.4397,629,258,14,3/20/15,173.3171214
21687715,2424.89965,698,306,46,3/25/15,52.71520978
37128894,2420.57961,639,294,55,3/25/15,44.01053836
