CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
34364924,4091.44922,1075,542,29,3/21/15,141.0844559
22832526,4003.32942,1101,500,31,3/20/15,129.1396587
36833307,3979.00865,1175,356,18,3/21/15,221.0560361
21236338,3745.43966,949,401,45,3/25/15,83.23199244
34465116,3496.42935,799,397,32,3/23/15,109.2634172
22206066,3458.50969,921,331,59,3/25/15,58.61880831
22153253,3388.39951,842,338,46,3/25/15,73.66085891
21392515,3384.30938,1102,422,75,3/25/15,45.12412507
22211029,3324.85969,973,245,32,3/24/15,103.9018653
22640091,3160.52958,794,338,21,3/14/15,150.5014086
21193598,3145.71939,839,459,26,3/23/15,120.9892073
22331438,2961.85934,738,298,33,3/25/15,89.75331333
39659521,2916.50983,799,272,35,3/24/15,83.32885229
20973356,2808.12965,744,330,17,3/23/15,165.1840971
21204166,2773.90962,712,333,58,3/24/15,47.82602793
38858182,2714.14976,671,309,18,3/23/15,150.7860978
23748558,2713.2995,693,339,58,3/25/15,46.78102586
22527719,2692.49919,653,188,45,3/25/15,59.83331533
22112596,2676.82967,656,340,31,3/22/15,86.34934419
22848883,2676.00966,772,191,92,3/25/15,29.08706152
22642232,2668.00964,699,355,48,3/24/15,55.58353417
40147510,2666.07963,677,243,21,3/21/15,126.9561729
21630560,2658.1798,872,395,47,3/24/15,56.55701702
25794645,2578.32974,614,316,41,3/25/15,62.88609122
39301147,2575.91964,702,305,30,3/25/15,85.863988
22207467,2563.13951,686,265,12,3/21/15,213.5949592
39730315,2537.84956,907,393,44,3/25/15,57.67839909
21429358,2506.77962,777,303,18,3/24/15,139.2655344
36153170,2506.14981,719,249,38,3/21/15,65.95131079
21443996,2484.13985,816,292,38,3/22/15,65.37210132
21227247,2483.17932,583,198,13,3/25/15,191.0137938
23598240,2482.20958,647,280,29,3/24/15,85.59343379
21570020,2469.70943,631,266,15,3/21/15,164.6472953
21284896,2464.94953,586,317,21,3/25/15,117.378549
21698816,2454.26976,656,291,16,3/21/15,153.39186
21150733,2450.70972,580,235,12,3/13/15,204.22581
22206032,2429.44964,644,361,33,3/25/15,73.61968606
22153195,2424.63946,649,214,48,3/25/15,50.51332208
28842597,2421.31982,830,305,32,3/24/15,75.66624438
21915847,2406.43972,629,259,14,3/20/15,171.8885514
21350960,2405.20982,696,357,58,3/24/15,41.46913483
21687715,2405.09967,698,310,46,3/25/15,52.28477543
22302596,2404.42959,603,230,13,3/21/15,184.9561223
37128894,2380.57965,650,297,55,3/25/15,43.28326636
21591791,2368.53981,900,265,44,3/24/15,53.83045023
22185179,2353.80964,644,143,50,3/24/15,47.0761928
37360929,2340.55923,512,235,18,3/21/15,130.0310683
21321917,2339.74976,740,325,31,3/25/15,75.47579871
39628334,2336.09984,705,375,16,3/21/15,146.00624
36757849,2333.66958,627,234,86,3/25/15,27.13569279
21359811,2331.1696,575,268,23,3/21/15,101.3552
21393496,2329.91957,710,255,85,3/25/15,27.41081847
20891860,2327.99965,693,333,33,3/25/15,70.54544394
53309007,2324.88987,733,349,76,3/25/15,30.59065618
21620360,2319.76939,771,243,42,3/21/15,55.23260452
28166261,2313.75973,674,351,107,3/24/15,21.62392271
22211125,2312.30973,607,359,21,3/21/15,110.1099871
52622987,2293.39962,573,343,16,3/22/15,143.3374763
22211058,2285.1398,626,361,17,3/24/15,134.4199882
22338885,2281.33983,650,314,24,3/25/15,95.05582625
22612375,2273.56979,618,273,23,3/21/15,98.85086043
21685223,2257.11965,622,291,29,3/24/15,77.83171207
21691956,2252.79948,579,298,26,3/22/15,86.64613385
21313951,2250.80959,566,284,20,3/25/15,112.5404795
22383497,2246.31973,727,408,24,3/22/15,93.59665542
51836579,2245.26939,611,300,22,3/20/15,102.0576995
21473196,2233.36971,575,281,19,3/23/15,117.5457742
22226453,2191.83987,579,329,48,3/24/15,45.66333063
36333188,2180.2595,612,266,30,3/25/15,72.67531667
22566599,2163.64969,576,247,15,3/21/15,144.2433127
22205781,2159.03992,698,292,39,3/24/15,55.35999795
20750297,2158.64969,638,262,13,3/25/15,166.0499762
20784681,2155.40965,595,280,27,3/22/15,79.82998704
22256742,2154.21973,604,192,33,3/24/15,65.27938576
26308777,2147.86942,504,216,40,3/24/15,53.6967355
20985249,2136.33986,633,305,16,3/21/15,133.5212413
29375111,2126.37979,614,256,44,3/25/15,48.32681341
22153161,2114.60971,616,333,15,3/20/15,140.9739807
51280525,2114.19977,544,231,29,3/22/15,72.90344034
21012750,2104.18968,587,278,37,3/25/15,56.86999135
21268239,2099.50961,603,341,73,3/25/15,28.76040562
28174085,2092.36967,572,262,24,3/24/15,87.18206958
21600480,2090.30973,612,313,21,3/22/15,99.53855857
20784514,2079.23957,507,318,28,3/23/15,74.25855607
22597506,2070.9099,642,344,27,3/25/15,76.70036667
34357697,2061.83979,559,333,40,3/25/15,51.54599475
30082002,2059.28972,649,275,35,3/23/15,58.83684914
22249835,2053.76983,639,200,64,3/25/15,32.09015359
22226485,2053.76947,486,228,27,3/25/15,76.06553593
21290769,2049.06969,583,297,32,3/23/15,64.03342781
20967629,2046.45932,783,227,48,3/24/15,42.63456917
37617062,2046.19971,589,278,17,3/24/15,120.3646888
22351961,2044.97971,657,333,31,3/23/15,65.96708742
21627923,2043.06955,510,313,16,3/14/15,127.6918469
22823943,2030.78955,621,229,16,3/21/15,126.9243469
22447028,2024.76947,560,198,28,3/22/15,72.31319536
25781532,2015.06985,689,278,48,3/22/15,41.98062188
22211119,2002.34928,608,120,69,3/25/15,29.01955478
29928977,1986.63979,621,283,14,3/22/15,141.9028421
20718868,1986.31974,517,244,72,3/25/15,27.58777417
25589295,1985.85973,523,251,17,3/22/15,116.8152782
22331579,1978.62954,510,220,31,3/23/15,63.82675935
21623787,1969.88948,555,229,45,3/24/15,43.77532178
39939709,1967.99968,475,252,27,3/23/15,72.88887704
22206980,1967.10952,543,255,15,3/21/15,131.1406347
42463275,1961.98974,686,257,22,3/23/15,89.18135182
36523375,1960.68954,485,209,12,3/21/15,163.390795
22253870,1959.49958,519,186,22,3/21/15,89.06816273
21175930,1952.04966,549,359,31,3/23/15,62.96934387
22153444,1949.93992,662,379,55,3/25/15,35.45345309
23715424,1943.74983,530,300,32,3/23/15,60.74218219
22331544,1942.12966,500,242,25,3/23/15,77.6851864
21591001,1932.67975,611,295,41,3/23/15,47.13853049
34450777,1931.04979,528,342,43,3/25/15,44.90813465
28529011,1931.0299,503,236,59,3/25/15,32.72932034
21461960,1930.66976,588,347,54,3/25/15,35.7531437
22514157,1929.34966,466,259,16,3/22/15,120.5843538
23615820,1927.34977,592,273,45,3/25/15,42.82999489
21127468,1921.9095,624,289,26,3/22/15,73.91959615
22639637,1919.06987,607,269,24,3/24/15,79.96124458
23274178,1918.99975,559,247,47,3/25/15,40.82978191
22211054,1914.16949,613,191,38,3/25/15,50.37288132
21152071,1902.62971,470,242,60,3/22/15,31.71049517
22331577,1898.38978,592,364,26,3/21/15,73.01499154
23135927,1895.27972,498,241,20,3/24/15,94.763986
23678197,1887.23987,598,274,13,3/24/15,145.1722977
40040401,1882.69977,486,258,29,3/24/15,64.92068172
21030662,1880.12948,412,224,26,3/24/15,72.31267231
22591069,1878.39965,504,278,36,3/22/15,52.17776806
21431669,1862.69975,584,293,8,3/17/15,232.8374688
39740996,1859.04957,450,194,45,3/21/15,41.31221267
39357039,1840.39983,508,205,41,3/25/15,44.88780073
30202469,1835.88972,471,252,20,3/22/15,91.794486
26031795,1831.37991,530,315,55,3/25/15,33.29781655
39620346,1827.83974,547,300,24,3/23/15,76.15998917
21440899,1818.20944,548,203,19,3/22/15,95.69523368
21602821,1815.14988,714,207,53,3/25/15,34.24811094
21663237,1809.00981,478,325,26,3/23/15,69.57730038
22562272,1802.07972,425,235,8,3/25/15,225.259965
22772654,1801.81979,590,285,101,3/25/15,17.8397999
22338760,1790.58975,466,213,8,3/25/15,223.8237188
36147568,1784.81992,520,236,36,3/25/15,49.57833111
20872567,1778.81974,540,154,19,3/21/15,93.62209158
37156180,1777.49989,620,163,89,3/25/15,19.97190888
21159253,1775.07971,503,254,16,3/24/15,110.9424819
28680174,1773.1198,417,209,28,3/25/15,63.32570714
22207944,1772.55982,546,154,26,3/25/15,68.17537769
21156689,1770.12965,574,235,25,3/23/15,70.805186
22090869,1769.95965,531,164,33,3/23/15,53.63514091
23794219,1766.22971,495,272,22,3/23/15,80.28316864
36839344,1765.9297,467,240,30,3/24/15,58.86432333
23736494,1764.67974,455,226,10,3/21/15,176.467974
39009653,1760.35961,413,218,43,3/25/15,40.93859558
22253311,1757.03977,619,284,8,3/20/15,219.6299713
22641719,1754.23978,483,285,18,3/16/15,97.45776556
41184297,1752.48989,518,316,54,3/23/15,32.45351648
20734934,1751.79976,525,257,17,3/22/15,103.0470447
21431994,1747.94978,439,306,34,3/24/15,51.41028765
20922902,1746.76991,537,337,17,3/17/15,102.7511712
39307971,1740.48975,445,284,30,3/24/15,58.016325
22748106,1735.61956,471,205,29,3/25/15,59.84895034
22996694,1728.90987,468,211,35,3/25/15,49.39742486
20756562,1718.81987,472,192,47,3/24/15,36.57063553
22532611,1717.16991,482,260,52,3/24/15,33.02249827
22117151,1707.14943,592,118,28,3/22/15,60.9696225
21285175,1705.43959,414,260,37,3/25/15,46.09296189
21674959,1694.54969,472,253,27,3/22/15,62.76109963
21431667,1691.34968,443,110,19,3/23/15,89.01840421
35072866,1687.31981,594,257,35,3/25/15,48.20913743
20694280,1677.77976,467,218,13,3/21/15,129.0599815
39315039,1675.70975,475,239,72,3/25/15,23.27374653
21625045,1672.74968,528,276,14,3/24/15,119.48212
40168494,1669.77982,415,243,13,3/20/15,128.4446015
22111561,1669.63987,428,298,25,3/22/15,66.7855948
21621604,1668.11987,464,251,16,3/23/15,104.2574919
22203976,1664.86971,440,205,9,3/20/15,184.9855233
22211014,1661.68974,454,245,32,3/21/15,51.92780438
34330460,1651.15972,607,183,24,3/25/15,68.79832167
36785707,1647.51979,430,247,15,3/25/15,109.8346527
21620206,1646.09962,482,228,18,3/22/15,91.44997889
33412084,1644.54975,432,282,44,3/25/15,37.37613068
22523475,1643.59972,442,277,37,3/23/15,44.42161405
38886735,1637.03967,434,147,16,3/23/15,102.3149794
21437972,1633.76974,547,196,17,3/21/15,96.10410235
22499227,1631.97961,420,256,22,3/10/15,74.18089136
22985661,1631.70995,529,293,9,3/12/15,181.3011056
20693213,1626.82983,453,248,34,3/25/15,47.84793618
35070888,1625.02981,408,218,23,3/25/15,70.65347
21429398,1623.24993,544,287,54,3/25/15,30.06018389
21626439,1623.20999,626,307,26,3/24/15,62.43115346
20784544,1623.13948,438,161,35,3/25/15,46.37541371
26319806,1606.05988,483,328,28,3/20/15,57.35928143
21606834,1605.85974,480,298,11,3/24/15,145.9872491
22211098,1604.71976,479,249,21,3/25/15,76.41522667
20672412,1602.84942,370,165,15,3/23/15,106.856628
20771622,1600.04969,455,233,24,3/21/15,66.66873708
37355389,1599.27976,438,225,86,3/24/15,18.59627628
40234470,1597.11957,491,236,21,3/25/15,76.05331286
22759944,1594.53983,447,192,69,3/25/15,23.1092729
21177599,1592.59985,561,278,56,3/24/15,28.43928304
20932981,1591.46974,425,196,32,3/21/15,49.73342938
21061368,1590.5799,532,341,57,3/25/15,27.90491053
23616881,1582.71985,397,204,29,3/22/15,54.57654655
36838701,1581.82969,375,183,20,3/25/15,79.0914845
21352512,1578.59994,474,238,17,3/21/15,92.85882
21169845,1578.45978,456,238,40,3/25/15,39.4614945
20692745,1575.89979,513,201,29,3/24/15,54.34137207
20716873,1571.03979,419,203,27,3/25/15,58.18665889
25696970,1566.54992,503,248,16,3/22/15,97.90937
26128577,1561.17946,439,187,56,3/24/15,27.87820464
22153089,1560.61982,424,281,16,3/24/15,97.53873875
22165150,1551.41959,373,155,9,3/20/15,172.3799544
23743207,1550.86994,501,177,33,3/24/15,46.99605879
39011608,1550.62978,442,215,40,3/25/15,38.7657445
20864845,1544.50986,595,250,29,3/25/15,53.25896069
37453657,1543.58988,516,236,129,3/25/15,11.96581302
22186149,1542.28987,411,228,13,3/22/15,118.6376823
