ITEM_ID,TOTAL_REVENUE,BASKET_SIZE,DISTINCT_CUSTOMERS,VISITS_PURCHASED,AVG_PRICE
11740941,41193.22994,27307,10198,27307,1.477602898
11685694,30867.7341,3127,2493,3127,8.49869876
11740923,28267.85961,9749,4593,9749,1.393544952
11696675,22125.00149,2257,1743,2257,9.286576188
11610106,20373.91128,2084,1450,2084,9.695243626
11686823,20128.18963,5764,3415,5764,3.181791509
11750434,18913.91229,2745,1871,2745,3.561224067
12762899,17920.14947,4571,3205,4571,3.255634131
11650611,13916.84942,2080,1238,2080,6.559525972
11741143,13903.88921,2795,1858,2795,4.977630753
11696680,12159.15813,1902,1461,1902,5.681752051
13881134,11835.73315,1262,950,1262,9.181787
11697985,11791.05527,1438,1109,1438,6.965982097
11743201,11600.08985,4575,2855,4575,2.315716057
11741816,11287.53981,3202,2109,3202,3.074299544
11611881,10988.10983,3717,2429,3717,2.980371283
11639874,10871.38187,1119,917,1119,9.407914928
11675064,10524.32889,1830,838,1830,5.43353181
11600537,10303.03979,2806,2295,2806,2.847858904
11741274,10223.32986,5224,3190,5224,1.14688542
11657048,10058.02881,1017,732,1017,9.586642843
12518517,9770.00241,1205,571,1205,6.269180755
11659747,9751.82954,2905,1610,2905,2.468887898
11697918,9687.99,3464,2276,3464,2.427421393
11746232,9662.22981,2464,1174,2464,3.684878124
11742360,9660.89995,5038,3047,5038,1.903941805
14388093,9641.24543,1069,791,1069,8.467479892
11741127,9620.67956,2047,1523,2047,4.753481248
11677203,9587.74912,1953,1262,1953,4.925877092
11676841,9412.90731,1466,953,1466,4.870763049
11675055,9348.58937,1655,771,1655,5.451816533
11832850,9266.25688,1064,741,1064,7.830442808
11745837,8996.98992,3797,2384,3797,2.365243561
11746233,8760.20976,2238,1052,2238,3.683559997
11600749,8603.15,4210,2921,4210,1.938885721
11742736,8544.10982,3701,2524,3701,2.304411719
11742461,8475.88992,3444,2198,3444,2.44236553
11662922,8319.99168,851,489,851,9.281804697
11675063,7877.07893,1349,573,1349,5.423706072
11746238,7663.68972,1874,816,1874,3.681558118
11659745,7518.15965,2179,1201,2179,2.492628084
11696659,7495.00895,1056,841,1056,6.601140563
11740296,7300.20998,3021,1746,3021,2.376778693
11612558,6708.78,3294,2394,3294,1.93840073
12913750,6686.69995,1241,672,1241,4.982647837
11599868,6615.93,2641,1867,2641,2.49
11686839,6535.07992,1857,1347,1857,3.243595532
11832856,6358.8395,1152,808,1152,5.148978379
11702769,6349.93912,1087,842,1087,5.229982714
11608903,6287.18989,1269,1025,1269,4.836826983
11717359,6207.61997,1174,631,1174,4.985759377
11696651,6126.20403,617,541,617,9.695407225
11743679,5924.97991,1323,989,1323,4.571062065
11600129,5714.51985,1838,1176,1838,3.091396491
11746191,5623.02946,1010,757,1010,4.989827143
11702687,5531.09773,658,585,658,6.46063084
11629829,5517.63997,2141,1320,2141,0.608581726
12788250,5403.40999,1234,886,1234,4.108187109
13797916,5344.62999,1322,931,1322,3.984964617
12932343,5246.09557,548,499,548,7.696890687
11699376,5215.69865,755,622,755,5.702259478
11668104,5165.3697,1415,917,1415,2.875755381
14340248,5161.52622,537,379,537,8.925871983
11633904,4820.7799,1345,928,1345,3.435457746
12635005,4804.38937,904,796,904,4.409890627
11746136,4644.85957,798,397,798,5.549803168
11746188,4640.94965,856,642,856,5.002300015
14570356,4635.20972,780,656,780,5.258922636
11668067,4612.62987,1322,892,1322,2.892159439
11712767,4604.41989,1156,606,1156,3.683001702
15066444,4541.04981,769,605,769,5.576410475
