ITEM_ID,TOTAL_REVENUE,VISITS_PURCHASED,DISTINCT_CUSTOMERS,AVG_PRICE
11740941,41194.30994,27233,10176,1.479501921
11685694,30867.7341,3123,2491,8.49869876
11740923,28267.85961,9738,4588,1.393544952
11696675,22124.93149,2256,1743,9.286576188
11610106,20373.91128,2079,1446,9.695243626
11686823,20128.18963,5757,3409,3.181791509
11750434,18913.91229,2737,1865,3.562525208
12762899,17920.14947,4565,3203,3.255634131
11650611,13916.84942,2073,1235,6.565854507
11741143,13913.8892,2767,1838,4.977630753
11696680,12159.15813,1902,1461,5.681752051
13881134,11835.73315,1261,950,9.181787
11697985,11791.05527,1438,1109,6.965982097
11743201,11608.04985,4555,2844,2.316224447
11741816,11287.53981,3198,2106,3.074299544
11611881,10994.56983,3676,2401,2.980371283
11639874,10871.38187,1118,916,9.407914928
11675064,10524.32889,1828,837,5.43353181
11600537,10308.52979,2799,2289,2.849769536
11741274,10223.32986,5209,3183,1.14688542
11657048,10058.02881,1016,732,9.586642843
12518517,9770.00241,1169,551,6.435429346
11659747,9751.82954,2902,1608,2.468887898
11697918,9687.99,3456,2272,2.427421393
11742360,9665.17995,5018,3034,1.903941805
11746232,9662.22981,2462,1172,3.684878124
14388093,9651.24542,1068,791,8.470726601
11741127,9620.67956,2003,1489,4.753481248
11677203,9587.74912,1924,1241,4.925877092
11676841,9412.90731,1460,948,4.870763049
11675055,9348.58937,1654,771,5.455112674
11832850,9266.25688,1064,741,7.830442808
11745837,8996.98992,3777,2370,2.365243561
11746233,8760.20976,2235,1050,3.683559997
11600749,8603.15,4209,2920,1.938885721
11742736,8544.10982,3689,2515,2.304411719
11742461,8475.88992,3414,2177,2.443080927
11662922,8319.99168,832,476,9.281804697
11675063,7877.07893,1349,573,5.423706072
11746238,7663.68972,1874,816,3.681558118
11659745,7518.15965,2179,1201,2.492628084
11696659,7495.00895,1056,841,6.601140563
11740296,7300.20998,3020,1745,2.376778693
11612558,6708.78,3289,2389,1.93840073
12913750,6686.69995,1240,672,4.982647837
11599868,6615.93,2627,1858,2.49
11686839,6535.07992,1856,1346,3.243595532
11832856,6358.8395,1152,808,5.148978379
11702769,6349.93912,1087,842,5.229982714
11608903,6287.18989,1268,1024,4.836826983
11717359,6207.61997,1172,630,4.985759377
11696651,6126.20403,616,540,9.695407225
11743679,5930.52991,1293,965,4.571062065
11600129,5718.28985,1814,1160,3.091396491
11746191,5623.02946,1009,756,4.989827143
11702687,5531.09773,643,575,6.6113454
11629829,5519.63997,2126,1309,0.608679836
12788250,5403.40999,1166,831,4.337202686
13797916,5344.62999,1318,927,3.987988111
12932343,5246.09557,543,495,7.71106544
11699376,5215.69865,755,622,5.702259478
11668104,5165.3697,1412,914,2.875755381
14340248,5161.52622,537,379,8.925871983
11633904,4820.7799,1344,927,3.435457746
12635005,4803.17937,899,793,4.409890627
11746136,4644.85957,797,396,5.549803168
14570356,4643.19972,778,656,5.258922636
11746188,4640.94965,855,641,5.002300015
11668067,4615.12987,1319,891,2.892159439
11712767,4604.41989,1156,606,3.683001702
15066444,4541.04981,768,604,5.576410475
11635293,4527.36951,580,533,7.377649009
11689531,4510.64983,864,632,4.604162753
14567596,4485.61966,765,646,5.406818975
14567659,4441.62972,778,669,5.245308331
11696669,4434.87928,576,390,7.104825734
11675059,4345.92953,754,384,5.410163302
11673668,4328.3689,569,449,6.586542707
11745914,4327.83989,2155,1626,0.914278256
11742786,4139,2599,1792,1.562663845
11616783,4125.99993,874,505,4.495610198
11600491,4099.26996,1271,915,3.02631086
11635275,4087.31859,409,392,9.713085667
11820821,4072.1376,426,372,6.990544665
14570357,4021.00984,705,604,5.206676048
11746246,3992.33965,940,505,3.743433692
12750654,3960.55997,891,598,4.163247278
11743876,3960.24976,979,665,3.61630909
11746124,3934.31987,741,423,4.925838904
15145961,3919.7761,392,317,9.786844005
14567807,3883.21967,665,550,5.317092523
11735563,3869.99613,387,194,8.29327336
12406002,3859.28625,387,346,9.738681328
11749110,3845.78999,1161,816,2.812608382
11742670,3843.35992,2121,1449,1.79182301
11659751,3836.77972,1117,813,2.393195998
11743933,3815.96,1568,1069,0.712359694
11742603,3812.44999,2649,1624,1.422095128
11666579,3800.23988,702,624,4.82505456
11746231,3749.55996,1515,834,2.279040699
15065940,3689.23985,617,502,5.742312164
11742219,3659.68999,2380,1694,1.530764702
11712740,3649.7799,911,458,3.676754455
12187228,3630.23997,847,589,3.920566694
11842659,3609.67737,381,319,9.150509606
11838638,3574.76982,796,591,4.029757026
12906968,3534.02922,504,349,6.185078644
11662192,3495.06803,370,299,8.838022311
11828090,3469.43999,772,681,2.971170117
11741211,3458.22997,1442,900,1.126813672
11749354,3423.68,1161,1057,2.812566753
14376833,3418.20994,826,569,3.848373665
11634180,3413.13971,415,328,7.871019735
11649813,3376.16982,1281,566,1.485750302
11613509,3370.79913,557,431,4.803162503
11613507,3369.89918,558,420,4.882926465
11684627,3368.6794,392,343,5.839667756
11742303,3358.94997,1003,504,3.019641069
11601443,3354.63994,898,768,3.564491434
11698905,3347.83818,421,372,5.017523747
11677975,3343.22997,1148,1005,2.68764808
